Sequence Position in training data,,Customer ID# in market test database,"Male=0, Female=1",total_expenditure ,"months_since_last_purchase, ","number_of_purchases, ",months_since_first_purchase ,,,
,,,,,,,,,,
Seq,username,ID,gender,totalSpent,monthsSinceLastPurchase,totalNumberOfPurchases,monthsSinceFirstPurchase,,,
1,user1,25,1,297,14,2,22,,,
2,user2,29,0,128,8,2,10,,,
3,user3,46,1,138,22,7,56,,,
4,user4,47,1,228,2,1,2,,,
5,user5,51,1,257,10,1,10,,,
6,user6,60,1,145,6,2,12,,,
7,user7,61,1,190,16,1,16,,,
8,user8,79,1,187,14,1,14,,,
9,user9,81,1,252,10,1,10,,,
10,user10,90,1,240,6,3,20,,,
11,user11,95,1,275,2,4,20,,,
12,user12,100,0,320,2,3,18,,,
13,user13,103,1,268,4,1,4,,,
14,user14,112,0,135,14,1,14,,,
15,user15,116,1,213,4,2,10,,,
16,user16,121,1,256,14,9,58,,,
17,user17,125,1,226,14,6,28,,,
18,user18,126,0,81,22,1,22,,,
19,user19,127,1,330,10,10,38,,,
20,user20,145,1,393,12,11,50,,,
21,user21,164,1,213,2,1,2,,,
22,user22,169,1,243,10,1,10,,,
23,user23,193,1,63,4,1,4,,,
24,user24,201,1,57,2,1,2,,,
25,user25,202,0,260,34,11,74,,,
26,user26,208,1,32,26,2,32,,,
27,user27,214,0,177,24,1,24,,,
28,user28,224,1,33,12,1,12,,,
29,user29,225,1,172,16,1,16,,,
30,user30,256,1,133,32,2,36,,,
31,user31,257,1,194,28,2,30,,,
32,user32,263,0,32,14,1,14,,,
33,user33,265,1,352,12,11,66,,,
34,user34,266,1,319,12,8,32,,,
35,user35,267,1,242,10,5,32,,,
36,user36,275,1,78,6,2,10,,,
37,user37,277,1,223,16,7,44,,,
38,user38,282,1,285,14,11,52,,,
39,user39,288,0,312,36,10,58,,,
40,user40,330,0,211,6,11,44,,,
41,user41,333,1,280,30,2,34,,,
42,user42,340,1,320,28,3,38,,,
43,user43,345,1,234,4,2,10,,,
44,user44,347,1,105,8,7,40,,,
45,user45,353,0,317,10,3,28,,,
46,user46,354,0,49,22,3,32,,,
47,user47,356,0,189,16,9,68,,,
48,user48,391,1,143,14,9,38,,,
49,user49,397,1,254,8,2,12,,,
50,user50,401,1,355,16,5,28,,,
51,user51,405,0,43,24,2,26,,,
52,user52,409,1,233,30,8,54,,,
53,user53,411,1,210,2,3,20,,,
54,user54,436,0,310,22,5,32,,,
55,user55,438,1,378,10,7,50,,,
56,user56,439,0,305,6,9,40,,,
57,user57,440,1,458,10,12,44,,,
58,user58,444,1,235,14,1,14,,,
59,user59,450,1,148,22,3,30,,,
60,user60,453,1,154,10,7,46,,,
61,user61,477,0,123,12,2,16,,,
62,user62,480,1,118,8,2,10,,,
63,user63,484,1,329,12,8,36,,,
64,user64,505,1,350,4,5,16,,,
65,user65,506,1,235,14,1,14,,,
66,user66,553,1,126,16,8,48,,,
67,user67,557,0,274,34,2,40,,,
